workspace,repo_slug,pipeline_uuid,step_uuid,state,name,duration_seconds
solutionsmetrixcrmdev,esl,{7466c65d-8c10-466c-b0b7-2dcb3641221f},{22f2c658-e75f-4877-8206-f516a6dd0411},COMPLETED,Deploy to UAT,524
solutionsmetrixcrmdev,esl,{afa24979-4265-4122-9df3-b7f076f9c3fb},{6c47e315-ef2e-42b5-b965-6b119631c973},COMPLETED,Deploy to QA,635
solutionsmetrixcrmdev,esl,{22a10b8d-7de2-4171-838f-42e595a7a58b},{3c59ae40-94fd-43b1-b3a5-d925077efa87},COMPLETED,Deploy to QA,949
solutionsmetrixcrmdev,esl,{89ad930b-2618-41b8-b94a-4a3a9966ae77},{1a78f802-23ad-4236-9cee-d9207cba21b1},COMPLETED,Deploy to QA,474
solutionsmetrixcrmdev,esl,{9b04551e-e248-4253-839e-68f313773dce},{69efb69e-2f3e-430b-ab47-7a3b74e6811e},COMPLETED,Deploy to QA,518
solutionsmetrixcrmdev,esl,{91babe4d-7f60-41b6-b1d8-2de226a57336},{8ec6e346-3690-4ecc-8052-ce239485a300},COMPLETED,Deploy to QA,568
solutionsmetrixcrmdev,esl,{bf906b26-2dcc-4daa-a4f0-b321cd558a78},{e9215b4d-bcb3-433b-b020-13e213bca7c5},COMPLETED,Deploy to QA,643
solutionsmetrixcrmdev,esl,{b6afb727-e745-434a-a605-d59fc0f6393e},{50868f16-c569-48ed-9346-d988059b7a4a},COMPLETED,Deploy to QA,629
solutionsmetrixcrmdev,esl,{c1f3dd92-1ba3-4812-8022-7e1acf65b38f},{ce60a181-f24f-45e4-8f9d-8c99e759a326},COMPLETED,Deploy to QA,666
solutionsmetrixcrmdev,esl,{15c9cd0f-2a84-4ba2-9cc9-c04cc0ba1702},{e4b52132-5bb2-4673-995b-4195f23e3927},COMPLETED,Deploy to QA,1241
solutionsmetrixcrmdev,esl,{2caa5f5a-41fe-41fb-9d9d-a9fbbf526c26},{10708d86-8240-4967-9878-b310dd03adf7},COMPLETED,Deploy to QA,489
solutionsmetrixcrmdev,esl,{b22ea53d-2e4d-44ce-99e8-b4d3a9191fa3},{0d2e66d9-4c64-4263-9315-7e5caf9f3bc7},COMPLETED,Deploy to UAT,641
solutionsmetrixcrmdev,esl,{c4dfa22f-99d8-4d18-9f49-b1ceeed25a38},{8a545055-ba87-48d8-a99c-f142f8630cd9},COMPLETED,Deploy to QA,2221
solutionsmetrixcrmdev,esl,{e2880384-ec3e-4795-a94f-9de00afda4c3},{147a7839-ef6c-47db-861b-b30a6aff67e9},COMPLETED,Deploy to QA,502
